textbox12,UnitName,textbox18,EventTime,GeofenceName,GeofenceEvent1,Schedule
Group: ,Unit:VBK301,,16/08/2024 5:04:24 p.m.,Geo Parq. TLQ,OUT,
Group: ,Unit:VBK301,,16/08/2024 5:06:19 p.m.,Geo Parq. TLQ,IN,
Group: ,Unit:VBK301,,16/08/2024 5:07:53 p.m.,Geo Parq. TLQ,OUT,
Group: ,Unit:VBK301,,16/08/2024 5:14:18 p.m.,perimetro urbano,OUT,
Group: ,Unit:VBK301,,16/08/2024 5:27:05 p.m.,PEAJE CENCAR,IN,
Group: ,Unit:VBK301,,16/08/2024 5:29:05 p.m.,PEAJE CENCAR,OUT,
Group: ,Unit:VBK301,,17/08/2024 6:14:47 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,17/08/2024 6:16:47 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,17/08/2024 6:28:39 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,17/08/2024 6:35:18 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,17/08/2024 6:42:48 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,17/08/2024 10:28:07 a.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,17/08/2024 10:37:07 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,17/08/2024 10:37:55 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,17/08/2024 10:52:07 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,17/08/2024 10:53:07 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,19/08/2024 6:34:35 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,19/08/2024 6:36:35 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,20/08/2024 7:18:36 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,20/08/2024 7:20:36 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,20/08/2024 7:35:11 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,20/08/2024 7:44:42 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,20/08/2024 7:53:42 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,22/08/2024 2:33:33 p.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,22/08/2024 2:43:15 p.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,22/08/2024 2:44:34 p.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,22/08/2024 2:59:34 p.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,22/08/2024 3:01:34 p.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,23/08/2024 6:57:27 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,23/08/2024 6:59:27 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,23/08/2024 11:09:29 a.m.,Parq Cencar,IN,
Group: ,Unit:VBK301,,23/08/2024 11:11:42 a.m.,Parq Cencar,OUT,
Group: ,Unit:VBK301,,23/08/2024 11:32:29 a.m.,perimetro urbano,IN,
Group: ,Unit:VBK301,,23/08/2024 11:35:29 a.m.,Geo Parq. TLQ,IN,
Group: ,Unit:VBK301,,23/08/2024 1:28:19 p.m.,Parqueadero Yumbo 2011,IN,
Group: ,Unit:VBK301,,23/08/2024 1:31:19 p.m.,Parqueadero Yumbo 2011,OUT,
Group: ,Unit:VBK301,,23/08/2024 1:32:19 p.m.,Geo Parq. TLQ,OUT,
Group: ,Unit:VBK301,,23/08/2024 1:55:19 p.m.,juanchito - zona ind,IN,
Group: ,Unit:VBK301,,23/08/2024 2:24:20 p.m.,juanchito - zona ind,OUT,
Group: ,Unit:VBK301,,23/08/2024 2:36:20 p.m.,"perimetro urbano : Km 14 de la vía Cali - Yumbo - Aeropuerto, , Valle del Cauca",OUT,
Group: ,Unit:VBK301,,23/08/2024 3:35:21 p.m.,perimetro urbano,IN,
Group: ,Unit:VBK301,,23/08/2024 3:39:21 p.m.,Geo Parq. TLQ,IN,
Group: ,Unit:VBK301,,23/08/2024 3:40:12 p.m.,Parqueadero Yumbo 2011,IN,
Group: ,Unit:VBK301,,23/08/2024 4:29:13 p.m.,Parqueadero Yumbo 2011,OUT,
Group: ,Unit:VBK301,,23/08/2024 4:30:08 p.m.,Parqueadero Yumbo 2011,IN,
Group: ,Unit:VBK301,,23/08/2024 4:41:05 p.m.,Geo Parq. TLQ,OUT,
Group: ,Unit:VBK301,,23/08/2024 4:41:05 p.m.,Parqueadero Yumbo 2011,OUT,
Group: ,Unit:VBK301,,23/08/2024 4:49:05 p.m.,perimetro urbano,OUT,
Group: ,Unit:VBK301,,23/08/2024 6:03:42 p.m.,PEAJE CENCAR,IN,
Group: ,Unit:VBK301,,23/08/2024 6:04:42 p.m.,PEAJE CENCAR,OUT,
Group: ,Unit:VBK301,,24/08/2024 5:28:19 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,24/08/2024 5:29:19 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,24/08/2024 5:51:19 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,24/08/2024 10:45:58 a.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,24/08/2024 10:54:59 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,24/08/2024 10:56:09 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,24/08/2024 11:09:59 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,24/08/2024 11:10:59 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,24/08/2024 12:06:00 p.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,24/08/2024 12:09:00 p.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,29/08/2024 5:59:59 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,29/08/2024 6:11:30 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,29/08/2024 6:19:10 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,29/08/2024 9:36:06 a.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,29/08/2024 9:44:38 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,29/08/2024 9:46:14 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,29/08/2024 10:01:07 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,29/08/2024 10:03:07 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,29/08/2024 10:59:09 a.m.,"PEAJE CIAT  : Km 26 de la vía Puerto Tejada - Santander de Quilichao, , Cauca",IN,
Group: ,Unit:VBK301,,30/08/2024 10:38:58 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,30/08/2024 10:40:48 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,30/08/2024 10:51:54 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,30/08/2024 10:53:03 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,30/08/2024 11:00:54 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,30/08/2024 1:41:48 p.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,30/08/2024 1:52:48 p.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,30/08/2024 1:53:50 p.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,30/08/2024 2:09:48 p.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,30/08/2024 2:11:48 p.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,31/08/2024 7:47:31 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,31/08/2024 7:48:31 a.m.,PEAJE CIAT ,OUT,
